the_geom,median_household_total_income_2015_2015_constant_dollars,rank_going_up,ctcode,number_of_households_2015,median_household_total_income_2005_2015_constant_dollars,cartodb_id,number_of_households_2005,median_household_total_income_2005_2015_constant_dollars_2,percentage_change,province_territory,geographic_code_province_territory,census_metropolitan_area_census_agglomeration
,111488,4933,9330505.04,1890,,43,,,,British Columbia,59,Vancouver (CMA)
,108117,4814,9330280.02,1070,,56,,,,British Columbia,59,Vancouver (CMA)
,107648,4799,9350180.04,2230,,57,,,,British Columbia,59,Victoria (CMA)
,102997,4612,9330287.14,1375,,76,,,,British Columbia,59,Vancouver (CMA)
,102016,4569,9330400.09,1725,,83,,,,British Columbia,59,Vancouver (CMA)
,101717,4550,9250021.01,720,,87,,,,British Columbia,59,Kamloops (CA)
,100901,4514,9300016.02,1045,,91,,,,British Columbia,59,Chilliwack (CA)
,100890,4513,9330281.01,2110,,92,,,,British Columbia,59,Vancouver (CMA)
,99744,4446,9350180.06,2395,,99,,,,British Columbia,59,Victoria (CMA)
,97024,4281,9330286.02,2665,,127,,,,British Columbia,59,Vancouver (CMA)
,95949,4233,9700103.02,1320,,133,,,,British Columbia,59,Prince George (CA)
,95415,4194,9330286.01,1920,,136,,,,British Columbia,59,Vancouver (CMA)
,94950,4166,9330180.03,3130,,141,,,,British Columbia,59,Vancouver (CMA)
,94771,4151,9330287.11,1765,,144,,,,British Columbia,59,Vancouver (CMA)
,93139,4054,9330180.04,3675,,159,,,,British Columbia,59,Vancouver (CMA)
,93099,4052,9330290.07,2130,,160,,,,British Columbia,59,Vancouver (CMA)
,92858,4039,9300016.01,3335,,165,,,,British Columbia,59,Chilliwack (CA)
,92562,4022,9330111.05,1720,,168,,,,British Columbia,59,Vancouver (CMA)
,92160,4001,9300032,525,,171,,,,British Columbia,59,Chilliwack (CA)
,91904,3986,9330111.07,1680,,174,,,,British Columbia,59,Vancouver (CMA)
,91853,3981,9320013.02,970,,175,,,,British Columbia,59,Abbotsford - Mission (CMA)
,91136,3940,9150102.05,2790,,185,,,,British Columbia,59,Kelowna (CMA)
,90368,3903,9330161.09,800,,192,,,,British Columbia,59,Vancouver (CMA)
,90027,3882,9300013,600,,195,,,,British Columbia,59,Chilliwack (CA)
,89710,3864,9350160.09,1440,,199,,,,British Columbia,59,Victoria (CMA)
,89600,3859,9150104.02,3035,,200,,,,British Columbia,59,Kelowna (CMA)
,88670,3800,9330183.09,4375,,217,,,,British Columbia,59,Vancouver (CMA)
,87625,3730,9350155.04,1820,,226,,,,British Columbia,59,Victoria (CMA)
,86656,3676,9150018.02,635,,236,,,,British Columbia,59,Kelowna (CMA)
,86144,3645,9330504.15,725,,240,,,,British Columbia,59,Vancouver (CMA)
,86080,3641,9330403.07,1965,,243,,,,British Columbia,59,Vancouver (CMA)
,84053,3515,9330161.08,325,,263,,,,British Columbia,59,Vancouver (CMA)
,83063,3444,9330183.08,3290,,272,,,,British Columbia,59,Vancouver (CMA)
,82871,3429,9380001.04,1455,,273,,,,British Columbia,59,Nanaimo (CA)
,82688,3416,9300018.02,1650,,279,,,,British Columbia,59,Chilliwack (CA)
,82615,3408,9330260.07,2170,,280,,,,British Columbia,59,Vancouver (CMA)
,81568,3343,9330500.02,2185,,291,,,,British Columbia,59,Vancouver (CMA)
